"Feature","Importance"
"ICU_stay",85.2611634788501
"EF",45.1718889000099
"TYPE_OF_ADMISSION_EMERGENCY_OPD",40.1026657281067
"CREATININE",40.0255136211896
"TLC",40.0003240911864
"UREA",31.3459092886198
"AGE",22.8781738805346
"HB",20.9475279157316
"GLUCOSE",18.2770450568572
"NON_CARDIAC_COMORBID",17.9886311193076
"PLATELETS",17.172251704945
"ARRHYTHMIA_CONDUCTION",13.6268374148121
"CHRONIC_CARDIO",12.9687503584935
"ACUTE_CARDIO",9.23491712096923
"GENDER",8.21027342080769
"OTHER_CARDIO",5.85279225460312
"LIFESTYLE_RISK",4.20934965130349
"RURAL",2.86714597265331
